0,5,0,1,1,L
4.15,3.75,-10,1,1,M
7.85,6.57,-10,1,1,H
12.69,3.72,-10,1,1,L
17.5,6.99,-10,1,1,M
20.76,4.29,-10,1,1,H
27.62,7.72,-10,1,1,L
31.45,3.17,-10,1,1,M
36.13,6.62,-10,1,1,H
42.36,4.85,-10,1,1,L
47.29,2.72,-10,1,1,M
54.95,7.99,-10,1,1,H
63.56,6.3,-10,1,1,L
67.29,8.7,-10,1,1,M
71.21,5.17,-10,1,1,H
78.15,6.63,-10,1,1,L
85.31,8.2,-10,1,1,M
90.7,3.66,-10,1,1,H
94.3,3.36,-10,1,1,L
97.92,6.15,-10,1,1,M
101.2,7.89,-10,1,1,H
107.7,1.79,-10,1,1,L
110.99,7.42,-10,1,1,L
113.64,6.9,-10,1,1,L
116.95,3.14,-10,1,1,L
119.77,3.91,-10,1,1,L
121.81,3.53,-10,1,1,L
126.83,5.36,-10,1,1,L
131.68,4.29,-10,1,1,L
135.61,8.06,-10,1,1,L
139.09,7.19,-10,1,1,L
174.09,5,0,6,1,L
