0,5,0,1,1,L
5.26,7.47,-5,1,1,L
12.15,3.37,-5,1,1,M
16.35,6.14,-5,1,1,L
20.92,3.22,-5,1,1,L
28,6.22,-5,1,1,M
32.17,3.08,-5,1,1,L
37.78,4.87,-5,1,1,M
43.52,4.23,-5,1,1,L
46.98,2.59,-5,1,1,L
52.07,3.24,-5,1,1,L
56.17,4.11,-5,1,1,L
61.51,5.77,-5,1,1,L
67.82,5.43,-5,1,1,M
74.66,4.29,-5,1,1,L
77.99,5.53,-5,1,1,L
83.49,5.95,-5,1,1,M
87.91,6.23,-5,1,1,L
91.91,6.71,-5,1,1,L
99.38,2.71,-5,1,1,H
104.91,3.79,-5,1,1,L
108.21,2.51,-5,1,1,L
113.08,2.76,-5,1,1,M
116.17,6.18,-5,1,1,L
118.75,4.89,-5,1,1,L
121.38,4.29,-5,1,1,L
124,3.61,-5,1,1,L
129.7,4.02,-5,1,1,M
133.11,5.49,-5,1,1,L
136.84,6.79,-5,1,1,L
140.63,2.64,-5,1,1,M
175.63,5,0,6,1,L
