0,5,0,1,1,L
4.5,4.25,-30,1,1,L
9.74,5.49,-30,1,1,L
13.91,3.75,-30,1,1,L
20.08,4.38,-30,1,1,L
24.29,5.6,-30,1,1,L
29.53,4.51,-30,1,1,L
33.66,3.75,-30,1,1,L
39.74,5.39,-30,1,1,L
44.76,4.55,-30,1,1,L
49.04,6.25,-30,1,1,L
55.11,5.55,-30,1,1,L
61.32,4.11,-30,1,1,L
67.1,5.5,-30,1,1,L
72.1,3.99,-30,1,1,L
77.13,4.54,-30,1,1,L
83.08,5.4,-30,1,1,L
87.12,6.25,-30,1,1,L
92.07,4.89,-30,1,1,L
96.42,6.25,-30,1,1,L
102.16,5,-30,1,1,L
108.3,5.8,-30,1,1,L
112.52,4.11,-30,1,1,L
117.98,5.5,-30,1,1,L
123.41,3.99,-30,1,1,L
129.27,4.54,-30,1,1,L
133.16,5.7,-30,1,1,L
136.99,6.25,-30,1,1,L
142.8,4.89,-30,1,1,L
146.91,6.25,-30,1,1,L
152.06,5,-30,1,1,L
156.5,4.17,-30,1,1,L
161.74,5,-30,1,1,L
165.91,5.45,-30,1,1,L
172.08,6.25,-30,1,1,L
176.29,5,-30,1,1,L
181.53,4.56,-30,1,1,L
185.66,4.04,-30,1,1,L
191.74,5.07,-30,1,1,L
196.76,5.97,-30,1,1,L
201.04,4.12,-30,1,1,L
207.11,4.17,-30,1,1,L
213.32,5,-30,1,1,L
219.1,5.45,-30,1,1,L
224.1,6.25,-30,1,1,L
229.13,5,-30,1,1,L
235.08,4.56,-30,1,1,L
239.12,4.04,-30,1,1,L
244.07,5.07,-30,1,1,L
248.42,5.97,-30,1,1,L
254.16,4.12,-30,1,1,L
260.3,6.25,-30,1,1,L
264.52,5.49,-30,1,1,L
269.98,3.75,-30,1,1,L
275.41,4.38,-30,1,1,L
281.27,5.6,-30,1,1,L
285.16,4.51,-30,1,1,L
288.99,3.8,-30,1,1,L
294.8,5.39,-30,1,1,L
298.91,4.55,-30,1,1,L
304.06,5.87,-30,1,1,L
308.5,6.25,-30,1,1,L
313.74,5.49,-30,1,1,L
317.91,3.75,-30,1,1,L
324.08,4.38,-30,1,1,L
328.29,5.6,-30,1,1,L
333.53,4.51,-30,1,1,L
337.66,3.8,-30,1,1,L
343.74,5.39,-30,1,1,L
348.76,4.55,-30,1,1,L
353.04,5.87,-30,1,1,L
359.11,5.8,-30,1,1,L
365.32,4.11,-30,1,1,L
371.1,5.5,-30,1,1,L
376.1,3.99,-30,1,1,L
381.13,4.54,-30,1,1,L
387.08,5.7,-30,1,1,L
391.12,6.25,-30,1,1,L
396.07,4.89,-30,1,1,L
400.42,6.25,-30,1,1,L
406.16,5,-30,1,1,L
412.3,5.8,-30,1,1,L
416.52,4.11,-30,1,1,L
421.98,5.5,-30,1,1,L
427.41,3.99,-30,1,1,L
433.27,4.54,-30,1,1,L
437.16,5.7,-30,1,1,L
440.99,6.25,-30,1,1,L
446.8,4.89,-30,1,1,L
450.91,6.25,-30,1,1,L
456.06,5,-30,1,1,L
460.5,4.17,-30,1,1,L
465.74,5,-30,1,1,L
469.91,5.45,-30,1,1,L
476.08,6.25,-30,1,1,L
480.29,5,-30,1,1,L
485.53,4.56,-30,1,1,L
489.66,4.04,-30,1,1,L
495.74,5.07,-30,1,1,L
500.76,5.97,-30,1,1,L
505.04,4.12,-30,1,1,L
540.06,5,0,6,1,L
