0,5,0,1,1,L
4.64,5.48,-15,1,1,L
8.71,5.31,-15,1,1,L
13.21,4.61,-15,1,1,L
18.17,5.22,-15,1,1,L
23.74,4.83,-15,1,1,L
29.17,4.62,-15,1,1,L
34.09,5.09,-15,1,1,L
38.91,4.13,-15,1,1,L
44.2,4.02,-15,1,1,L
49.61,4.31,-15,1,1,L
54.31,4.84,-15,1,1,L
60.12,5.48,-15,1,1,L
65.57,4.58,-15,1,1,L
70.99,5.68,-15,1,1,L
75.83,4.42,-15,1,1,L
81.38,5.5,-15,1,1,L
86.50,4.39,-15,1,1,L
90.58,5.13,-15,1,1,L
95.92,4.22,-15,1,1,L
100.63,5.44,-15,1,1,L
106.36,4.79,-15,1,1,L
110.64,5.54,-15,1,1,L
114.95,5.72,-15,1,1,L
120.01,4.67,-15,1,1,L
124.3,4.82,-15,1,1,L
128.92,4.68,-15,1,1,L
133.03,5.82,-15,1,1,L
137.36,5.34,-15,1,1,L
141.89,4.2,-15,1,1,L
147.51,4.12,-15,1,1,L
182.51,5,0,6,1,L
