0.00,5.00,0,1,1,L,0
6.38,3.50,0,1,1,L,0
13.11,5.89,0,1,1,L,0
20.09,7.99,0,1,1,L,0
25.34,6.60,0,1,1,L,0
32.79,5.00,0,1,1,L,0
38.09,3.61,0,1,1,L,0
43.7,7.58,0,1,1,L,0
48.33,4.66,0,1,1,L,0
53.46,7.26,0,1,1,L,0
58.07,6.76,0,1,1,L,0
61.73,4.95,0,1,1,L,0
68.42001,3.24,0,1,1,L,0
75.96001,3.69,0,1,1,L,0
82.59,5.3,0,1,1,L,0
90.16,3.48,0,1,1,L,0
97.12,7.27,0,1,1,L,0
101.66,7.83,0,1,1,L,0
107.32,5.62,0,1,1,L,0
114.22,4.94,0,1,1,L,0
118.50,3.46,0,1,1,L,0
123.47,5.25,0,1,1,L,0
127.15,4.32,0,1,1,L,0
132.58,6.51,0,1,1,L,0
139.29,4.5,0,1,1,L,0
145.79,4.26,0,1,1,L,0
150.92,5.87,0,1,1,L,0
155.92,4.56,0,1,1,L,0
162.21,3.00,0,1,1,L,0
168.06,7.15,0,1,1,L,0
174.44,7.76,0,1,1,L,0
180.04,4.56,0,1,1,L,0
187.19,6.82,0,1,1,L,0
193.4,3.5,0,1,1,L,0
198.85,6.91,0,1,1,L,0
205.15,3.61,0,1,1,L,0
209.76,7.58,0,1,1,L,0
215.39,4.66,0,1,1,L,0
221.52,7.26,0,1,1,L,0
226.13,6.76,0,1,1,L,0
229.79,4.95,0,1,1,L,0
236.48,3.24,0,1,1,L,0
244.02,3.69,0,1,1,L,0
250.65,5.3,0,1,1,L,0
258.22,3.48,0,1,1,L,0
265.18,7.27,0,1,1,L,0
269.72,7.83,0,1,1,L,0
275.38,5.62,0,1,1,L,0
282.28,4.94,0,1,1,L,0
286.56,3.46,0,1,1,L,0
291.53,5.25,0,1,1,L,0
295.21,4.32,0,1,1,L,0
300.64,6.51,0,1,1,L,0
307.35,4.5,0,1,1,L,0
313.85,4.26,0,1,1,L,0
318.98,5.87,0,1,1,L,0
323.98,4.56,0,1,1,L,0
330.27,3,0,1,1,L,0
336.12,7.15,0,1,1,L,0
342.5,7.76,0,1,1,L,0
348.1,4.56,0,1,1,L,0
355.25,6.82,0,1,1,L,0
361.46,3.5,0,1,1,L,0
366.91,6.91,0,1,1,L,0
373.21,3.61,0,1,1,L,0
377.82,7.58,0,1,1,L,0
383.45,4.66,0,1,1,L,0
389.58,7.26,0,1,1,L,0
394.19,6.76,0,1,1,L,0
397.85,4.95,0,1,1,L,0
404.54001,3.24,0,1,1,L,0
412.08001,3.69,0,1,1,L,0
418.71,5.3,0,1,1,L,0
426.28,3.48,0,1,1,L,0
433.24,7.27,0,1,1,L,0
437.78,7.83,0,1,1,L,0
443.44,5.62,0,1,1,L,0
450.34,4.94,0,1,1,L,0
454.62,3.46,0,1,1,L,0
459.59,5.25,0,1,1,L,0
463.27,4.32,0,1,1,L,0
468.7,6.51,0,1,1,L,0
475.41,4.5,0,1,1,L,0
481.91,4.26,0,1,1,L,0
487.04,5.87,0,1,1,L,0
492.04,4.56,0,1,1,L,0
498.33,3,0,1,1,L,0
504.18,7.15,0,1,1,L,0
510.56,7.76,0,1,1,L,0
516.16,4.56,0,1,1,L,0
523.31,6.82,0,1,1,L,0
529.52,3.5,0,1,1,L,0
534.97,6.91,0,1,1,L,0
541.27,3.61,0,1,1,L,0
545.88,7.58,0,1,1,L,0
551.51,4.66,0,1,1,L,0
557.64,7.26,0,1,1,L,0
562.25,6.76,0,1,1,L,0
568.63,7.76,0,1,1,L,0
574.23,4.56,0,1,1,L,0
581.38,6.82,0,1,1,L,0
623.38,5,0,6,1,L,0
